,Emissions transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,NaN,0,NaN,NaN,NaN,NaN,NaN,-3,0,NaN,11,-8,1,NaN,1,-2,NaN,-2,-17,NaN,0,NaN,NaN,NaN,0,-8,NaN,NaN,2,0,NaN,0,-3,NaN,NaN,NaN,NaN,0,107,-2,NaN,NaN,NaN,-1,0,0,NaN,-1,5,NaN,NaN,-2,NaN,NaN,NaN,0,-1,-1,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-3,-29,NaN,NaN,NaN,NaN,-1,-51,-1,NaN,-2,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,0,-20,-3,NaN,21,19,NaN,-3,0,-4,-26,NaN,-47,NaN,7,-1,NaN,0,-1,0,-1,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,0,0,9,NaN,NaN,-1,NaN,NaN,NaN,0,-2,0,NaN,NaN,-1,-1,NaN,0,NaN,-1,NaN,-12,NaN,0,0,NaN,0,NaN,-3,NaN,0,0,NaN,0,NaN,0,-1,-3,0,9,-3,1,0,5,NaN,NaN,4,109,0,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,NaN,-11,-1,-1,NaN,NaN,33,-6,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-20,NaN,-3,NaN,9,NaN,0,NaN,NaN,0,-5,NaN,NaN,0,24,-2,-36,-1,-15,-1,NaN,NaN,3,0,NaN,NaN,NaN,-1,0,-136,137,-278,278,-194,27,96,-5,-87,-7,-21,10,-11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,12,-8,1,NaN,3,-1,NaN,-3,-19,NaN,0,NaN,NaN,NaN,0,-1,NaN,NaN,1,0,NaN,0,0,NaN,NaN,NaN,NaN,1,97,0,NaN,NaN,NaN,-1,0,0,NaN,-1,3,NaN,NaN,-3,NaN,NaN,NaN,0,-1,-1,NaN,NaN,-1,0,NaN,NaN,NaN,NaN,-4,-33,NaN,NaN,NaN,NaN,0,-54,0,NaN,-2,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-15,-3,NaN,19,8,NaN,-3,16,-2,-31,NaN,-62,NaN,6,0,NaN,4,0,0,-1,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,0,0,4,NaN,NaN,-1,NaN,NaN,NaN,0,-2,0,NaN,NaN,-2,-1,NaN,0,NaN,-1,NaN,-5,NaN,-1,0,NaN,4,NaN,1,NaN,1,-1,NaN,0,NaN,0,-1,-4,0,3,-2,4,0,-8,NaN,NaN,2,127,0,NaN,NaN,NaN,NaN,11,0,NaN,NaN,NaN,-15,-1,-1,NaN,NaN,25,-6,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-17,NaN,-4,NaN,6,NaN,0,NaN,NaN,0,-5,NaN,NaN,0,18,3,-32,-1,-46,-1,NaN,NaN,15,1,NaN,NaN,NaN,0,1,-174,174,-336,336,-209,30,33,-2,-83,51,-51,11,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,NaN,0,NaN,NaN,NaN,NaN,NaN,1,0,NaN,15,-8,1,NaN,2,-2,NaN,-3,-19,NaN,0,NaN,NaN,NaN,-2,-3,NaN,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,110,0,NaN,NaN,NaN,-1,0,0,NaN,-2,4,NaN,NaN,-3,NaN,NaN,NaN,0,2,-1,NaN,NaN,-1,0,NaN,NaN,NaN,NaN,-5,-38,NaN,NaN,NaN,NaN,0,-55,0,NaN,-3,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-17,-4,NaN,33,10,NaN,-3,16,-2,-38,NaN,-76,NaN,8,0,NaN,7,0,0,-1,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,0,0,5,NaN,NaN,-1,NaN,NaN,NaN,-1,-7,0,NaN,NaN,-2,-1,NaN,-1,NaN,0,NaN,-5,NaN,0,0,NaN,13,NaN,2,NaN,2,-1,NaN,0,NaN,0,-1,-5,0,2,-4,5,0,-13,NaN,NaN,2,130,0,NaN,NaN,NaN,NaN,25,0,NaN,NaN,NaN,-20,-2,-1,NaN,NaN,27,-7,-1,NaN,NaN,NaN,NaN,NaN,NaN,-8,-19,NaN,-8,NaN,6,NaN,0,NaN,NaN,0,-9,NaN,NaN,0,23,9,-31,-1,-72,-1,NaN,NaN,17,1,NaN,NaN,NaN,-1,1,-228,228,-410,410,-233,48,39,-2,-100,71,-81,14,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,NaN,0,NaN,NaN,NaN,NaN,NaN,1,0,NaN,15,-7,1,NaN,1,-3,NaN,-2,-19,NaN,0,NaN,NaN,NaN,-1,1,NaN,NaN,1,0,NaN,0,3,NaN,NaN,NaN,NaN,0,94,0,NaN,NaN,NaN,-1,0,-1,NaN,-1,4,NaN,NaN,-3,NaN,NaN,NaN,0,2,-1,NaN,NaN,-1,0,NaN,NaN,NaN,NaN,-4,-35,NaN,NaN,NaN,NaN,0,-47,0,NaN,-2,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-19,-4,NaN,30,13,NaN,-3,16,-2,-33,NaN,-67,NaN,7,0,NaN,5,0,0,-1,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,0,0,5,NaN,NaN,0,NaN,NaN,NaN,0,-7,0,NaN,NaN,-2,-1,NaN,-1,NaN,0,NaN,-4,NaN,0,0,NaN,10,NaN,3,NaN,1,-1,NaN,0,NaN,0,-1,-5,0,3,-4,4,0,-8,NaN,NaN,2,105,0,NaN,NaN,NaN,NaN,22,0,NaN,NaN,NaN,-15,-2,-1,NaN,NaN,31,-8,-1,NaN,NaN,NaN,NaN,NaN,NaN,-6,-15,NaN,1,NaN,8,NaN,0,NaN,NaN,0,0,NaN,NaN,0,14,1,-31,-1,-76,-1,NaN,NaN,14,2,NaN,NaN,NaN,-1,1,-225,225,-359,359,-208,47,52,-2,-103,61,-81,14,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,NaN,0,NaN,NaN,NaN,NaN,NaN,11,0,NaN,11,-7,1,NaN,2,-2,NaN,-2,-23,NaN,0,NaN,NaN,NaN,0,3,NaN,NaN,1,0,NaN,0,-2,NaN,NaN,NaN,NaN,0,118,-1,NaN,NaN,NaN,-2,1,-1,NaN,-2,2,NaN,NaN,-3,NaN,NaN,NaN,-1,2,-1,NaN,NaN,-1,0,NaN,NaN,NaN,NaN,-3,-36,NaN,NaN,NaN,NaN,0,-44,0,NaN,-3,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-15,-5,NaN,34,8,NaN,-3,21,-2,-35,NaN,-64,NaN,8,0,NaN,4,0,0,-1,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,0,0,3,NaN,NaN,0,NaN,NaN,NaN,0,-7,0,NaN,NaN,-2,-1,NaN,0,NaN,0,NaN,-5,NaN,-1,0,NaN,10,NaN,1,NaN,1,-1,NaN,0,NaN,0,-2,-4,0,4,-4,3,0,-14,NaN,NaN,1,100,0,NaN,NaN,NaN,NaN,25,0,NaN,NaN,NaN,-15,-2,-1,NaN,NaN,29,-10,-2,NaN,NaN,NaN,NaN,NaN,NaN,-6,-14,NaN,-1,NaN,11,NaN,0,NaN,NaN,0,-3,NaN,NaN,0,13,-2,-35,-1,-95,0,NaN,NaN,23,2,NaN,NaN,NaN,-1,0,-273,273,-411,411,-225,49,77,-1,-126,65,-105,10,32,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,NaN,0,NaN,NaN,NaN,NaN,NaN,7,0,NaN,10,-6,-1,NaN,1,-4,NaN,-3,-22,NaN,0,NaN,NaN,NaN,-2,4,NaN,NaN,2,0,NaN,-1,8,NaN,NaN,NaN,NaN,1,182,0,NaN,NaN,NaN,-1,-1,-1,NaN,-1,3,NaN,NaN,-3,NaN,NaN,NaN,-1,3,-1,NaN,NaN,-1,0,NaN,NaN,NaN,NaN,-4,-36,NaN,NaN,NaN,NaN,-1,-48,-1,NaN,3,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-14,-6,NaN,28,7,NaN,-5,5,-4,-32,NaN,-65,NaN,6,-1,NaN,4,0,0,-2,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,0,0,7,NaN,NaN,-1,NaN,NaN,NaN,-1,-10,0,NaN,NaN,-1,-1,NaN,-1,NaN,-1,NaN,-3,NaN,-1,0,NaN,10,NaN,0,NaN,1,-2,NaN,2,NaN,0,-1,-5,0,6,-4,5,0,-16,NaN,NaN,1,109,0,NaN,NaN,NaN,NaN,18,0,NaN,NaN,NaN,-21,-1,-1,NaN,NaN,33,-11,-2,NaN,NaN,NaN,NaN,NaN,NaN,-8,-17,NaN,0,NaN,8,NaN,0,NaN,NaN,0,-5,NaN,NaN,0,24,-4,-38,-1,-95,-1,NaN,NaN,17,-2,NaN,NaN,NaN,-1,0,-246,246,-411,411,-222,38,109,-6,-108,32,-99,8,26,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,NaN,-1,NaN,NaN,NaN,NaN,NaN,8,0,NaN,9,-7,0,NaN,1,-4,NaN,-3,-29,NaN,0,NaN,NaN,NaN,-2,5,NaN,NaN,1,0,NaN,-1,2,NaN,NaN,NaN,NaN,1,252,-1,NaN,NaN,NaN,-1,0,-1,NaN,-1,4,NaN,NaN,-4,NaN,NaN,NaN,-1,6,-1,NaN,NaN,0,-1,NaN,NaN,NaN,NaN,-5,-44,NaN,NaN,NaN,NaN,-1,-54,-1,NaN,3,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-13,-6,NaN,25,8,NaN,-6,7,-4,-37,NaN,-69,NaN,8,-1,NaN,5,0,0,-2,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,0,0,6,NaN,NaN,0,NaN,NaN,NaN,-1,-8,0,NaN,NaN,-1,-1,NaN,-1,NaN,0,NaN,-3,NaN,-1,0,NaN,7,NaN,1,NaN,1,-2,NaN,1,NaN,0,0,-5,0,8,-5,7,0,-17,NaN,NaN,0,105,0,NaN,NaN,NaN,NaN,29,0,NaN,NaN,NaN,-24,-2,-1,NaN,NaN,34,-14,-2,NaN,NaN,NaN,NaN,NaN,NaN,-9,-19,NaN,-7,NaN,8,NaN,0,NaN,NaN,0,-8,NaN,NaN,0,28,-7,-44,-1,-122,-1,NaN,NaN,15,-1,NaN,NaN,NaN,-1,0,-325,325,-491,491,-261,42,167,-2,-149,38,-129,7,26,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,NaN,-1,NaN,NaN,NaN,NaN,NaN,7,0,NaN,12,-6,0,NaN,1,-3,NaN,-1,-28,NaN,-1,NaN,NaN,NaN,-1,3,NaN,NaN,0,0,NaN,-1,-1,NaN,NaN,NaN,NaN,0,304,-1,NaN,NaN,NaN,-1,0,-1,NaN,-1,4,NaN,NaN,-5,NaN,NaN,NaN,-1,5,-1,NaN,NaN,0,-1,NaN,NaN,NaN,NaN,-6,-43,NaN,NaN,NaN,NaN,-1,-52,-1,NaN,3,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-15,-6,NaN,34,7,NaN,-6,10,-4,-38,NaN,-73,NaN,7,-1,NaN,6,-1,0,-1,NaN,NaN,NaN,NaN,-3,-1,NaN,NaN,0,0,7,NaN,NaN,-1,NaN,NaN,NaN,0,-12,0,NaN,NaN,-2,-1,NaN,-1,NaN,0,NaN,-4,NaN,-2,0,NaN,8,NaN,0,NaN,1,-4,NaN,2,NaN,-1,0,-6,0,6,-5,7,-1,-29,NaN,NaN,-1,104,0,NaN,NaN,NaN,NaN,31,0,NaN,NaN,NaN,-31,-2,-1,NaN,NaN,30,-17,-2,NaN,NaN,NaN,NaN,NaN,NaN,-9,-20,NaN,-5,NaN,5,NaN,0,NaN,NaN,0,-11,NaN,NaN,0,19,-11,-42,-1,-124,-1,NaN,NaN,17,-1,NaN,NaN,NaN,-1,0,-350,350,-523,523,-268,39,197,-4,-165,39,-138,9,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,NaN,-1,NaN,NaN,NaN,NaN,NaN,7,0,NaN,9,-8,2,NaN,1,-3,NaN,-3,-31,NaN,-1,NaN,NaN,NaN,-1,0,NaN,NaN,0,0,NaN,-1,0,NaN,NaN,NaN,NaN,0,383,-2,NaN,NaN,NaN,-1,-1,-2,NaN,0,1,NaN,NaN,-4,NaN,NaN,NaN,-1,5,-1,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-6,-42,NaN,NaN,NaN,NaN,-1,-59,-1,NaN,1,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-17,-7,NaN,26,6,NaN,-6,13,-4,-45,NaN,-70,NaN,6,-1,NaN,6,-2,0,-2,NaN,NaN,NaN,NaN,-3,-1,NaN,NaN,0,0,6,NaN,NaN,-1,NaN,NaN,NaN,0,-13,0,NaN,NaN,-2,-1,NaN,-1,NaN,0,NaN,-11,NaN,-1,0,NaN,15,NaN,0,NaN,2,-4,NaN,2,NaN,-1,0,-6,1,5,-5,8,-1,-34,NaN,NaN,-4,108,0,NaN,NaN,NaN,NaN,25,0,NaN,NaN,NaN,-36,-3,-1,NaN,NaN,31,-22,-2,NaN,NaN,NaN,NaN,NaN,NaN,-10,-18,NaN,-3,NaN,7,NaN,-1,NaN,NaN,0,-10,NaN,NaN,-1,21,-10,-46,-1,-141,-1,NaN,NaN,16,-2,NaN,NaN,NaN,-1,0,-401,401,-581,581,-311,39,258,-3,-199,34,-155,7,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,NaN,-1,NaN,NaN,NaN,NaN,NaN,5,0,NaN,8,-7,3,NaN,1,-4,NaN,-4,-32,NaN,-1,NaN,NaN,NaN,-2,-3,NaN,NaN,0,0,NaN,-2,-4,NaN,NaN,NaN,NaN,0,399,-3,NaN,NaN,NaN,-1,0,-2,NaN,-1,1,NaN,NaN,-4,NaN,NaN,NaN,-1,5,-1,NaN,NaN,0,-1,NaN,NaN,NaN,NaN,-7,-50,NaN,NaN,NaN,NaN,-1,-49,-1,NaN,2,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-12,-7,NaN,28,5,NaN,-6,10,-4,-43,NaN,-66,NaN,7,-1,NaN,4,0,0,-2,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,-1,0,10,NaN,NaN,0,NaN,NaN,NaN,0,-7,0,NaN,NaN,-2,-1,NaN,-2,NaN,-1,NaN,1,NaN,-1,0,NaN,7,NaN,-1,NaN,2,-4,NaN,2,NaN,-1,0,-6,0,1,-4,9,0,-35,NaN,NaN,-2,85,0,NaN,NaN,NaN,NaN,21,0,NaN,NaN,NaN,-25,-3,-1,NaN,NaN,35,-23,-2,NaN,NaN,NaN,NaN,NaN,NaN,-11,-22,NaN,-6,NaN,7,NaN,-1,NaN,NaN,0,-14,NaN,NaN,0,17,-14,-49,-1,-126,-1,NaN,NaN,12,-3,NaN,NaN,NaN,-1,0,-411,411,-564,564,-301,34,301,1,-226,14,-139,6,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,NaN,-1,NaN,NaN,NaN,NaN,NaN,5,0,NaN,12,-7,3,NaN,3,-3,NaN,-5,-33,NaN,-1,NaN,NaN,NaN,-2,-8,NaN,NaN,-1,0,NaN,-2,-5,NaN,NaN,NaN,NaN,-2,377,-3,NaN,NaN,NaN,-1,-1,-2,NaN,-1,-2,NaN,NaN,-4,NaN,NaN,NaN,-1,5,-1,NaN,NaN,0,-1,NaN,NaN,NaN,NaN,-8,-50,NaN,NaN,NaN,NaN,-1,-46,-2,NaN,1,NaN,NaN,NaN,-2,0,NaN,NaN,NaN,-1,-10,-8,NaN,37,4,NaN,-5,12,-5,-50,NaN,-77,NaN,11,-2,NaN,5,0,0,-2,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,-1,0,9,NaN,NaN,-1,NaN,NaN,NaN,0,-8,0,NaN,NaN,-2,-1,NaN,-2,NaN,-1,NaN,5,NaN,-1,0,NaN,7,NaN,0,NaN,0,-4,NaN,1,NaN,-1,-2,-6,0,-1,-4,9,0,-34,NaN,NaN,-4,93,0,NaN,NaN,NaN,NaN,23,-1,NaN,NaN,NaN,-22,-4,-1,NaN,NaN,43,-23,-2,NaN,NaN,NaN,NaN,NaN,NaN,-11,-23,NaN,3,NaN,5,NaN,-1,NaN,NaN,0,-14,NaN,NaN,-1,14,-18,-43,-1,-101,-1,NaN,NaN,12,-3,NaN,NaN,NaN,-2,-1,-391,391,-550,550,-306,33,287,-2,-228,17,-115,9,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,NaN,-1,NaN,NaN,NaN,NaN,NaN,5,0,NaN,10,-7,2,NaN,2,-4,NaN,-5,-25,NaN,-1,NaN,NaN,NaN,-3,-6,NaN,NaN,0,0,NaN,-1,-9,NaN,NaN,NaN,NaN,0,303,-2,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-1,NaN,NaN,-3,NaN,NaN,NaN,-1,2,-1,NaN,NaN,0,-1,NaN,NaN,NaN,NaN,-5,-43,NaN,NaN,NaN,NaN,-1,-44,-1,NaN,0,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,-1,-13,-5,NaN,30,4,NaN,-3,9,-4,-43,NaN,-65,NaN,6,-2,NaN,6,0,-1,-1,NaN,NaN,NaN,NaN,-2,1,NaN,NaN,-1,-1,8,NaN,NaN,-1,NaN,NaN,NaN,-1,-4,0,NaN,NaN,-2,-2,NaN,0,NaN,-1,NaN,-3,NaN,-1,0,NaN,0,NaN,0,NaN,0,-4,NaN,2,NaN,-1,-1,-6,0,4,-3,8,-1,-18,NaN,NaN,-1,85,0,NaN,NaN,NaN,NaN,17,0,NaN,NaN,NaN,-25,-3,-1,NaN,NaN,38,-16,-2,NaN,NaN,NaN,NaN,NaN,NaN,-8,-19,NaN,-1,NaN,9,NaN,-1,NaN,NaN,0,-8,NaN,NaN,-1,16,-9,-36,-1,-73,-1,NaN,NaN,5,-4,NaN,NaN,NaN,-1,-1,-304,304,-433,433,-251,16,218,1,-174,20,-85,5,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,NaN,-1,NaN,NaN,NaN,NaN,NaN,3,0,NaN,10,-7,3,NaN,2,-3,NaN,-6,-31,NaN,-1,NaN,NaN,NaN,-2,-10,NaN,NaN,-1,0,NaN,-2,-16,NaN,NaN,NaN,NaN,-2,380,-2,NaN,NaN,NaN,-2,-1,-2,NaN,-1,-2,NaN,NaN,-5,NaN,NaN,NaN,-1,1,-1,NaN,NaN,0,-1,NaN,NaN,NaN,NaN,-8,-48,NaN,NaN,NaN,NaN,-1,-47,-2,NaN,0,NaN,NaN,NaN,-2,0,NaN,NaN,NaN,-1,-10,-7,NaN,47,2,NaN,-4,10,-4,-50,NaN,-84,NaN,8,-1,NaN,6,0,0,-2,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,-1,0,8,NaN,NaN,-1,NaN,NaN,NaN,0,-6,0,NaN,NaN,-2,-1,NaN,-2,NaN,-1,NaN,8,NaN,-2,0,NaN,5,NaN,1,NaN,2,-3,NaN,2,NaN,-1,-1,-6,0,1,-4,10,0,-25,NaN,NaN,-4,91,0,NaN,NaN,NaN,NaN,21,0,NaN,NaN,NaN,-23,-4,-2,NaN,NaN,32,-24,-2,NaN,NaN,NaN,NaN,NaN,NaN,-10,-21,NaN,5,NaN,9,NaN,-1,NaN,NaN,0,-14,NaN,NaN,-1,17,-17,-42,-1,-97,-1,NaN,NaN,13,-1,NaN,NaN,NaN,-1,0,-397,397,-546,546,-298,18,300,-1,-218,17,-120,6,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,NaN,-1,NaN,NaN,NaN,NaN,NaN,3,0,NaN,8,-8,3,NaN,2,-4,NaN,-4,-34,NaN,-1,NaN,NaN,NaN,-2,-10,NaN,NaN,0,0,NaN,-2,-17,NaN,NaN,NaN,NaN,-2,439,-2,NaN,NaN,NaN,-2,-1,-2,NaN,-1,-3,NaN,NaN,-6,NaN,NaN,NaN,-1,0,-1,NaN,NaN,1,-1,NaN,NaN,NaN,NaN,-9,-53,NaN,NaN,NaN,NaN,-1,-54,-2,NaN,0,NaN,NaN,NaN,-2,0,NaN,NaN,NaN,-1,-11,-8,NaN,53,3,NaN,-5,10,-5,-55,NaN,-97,NaN,13,-1,NaN,7,0,0,-2,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,-1,0,5,NaN,NaN,-1,NaN,NaN,NaN,0,-7,0,NaN,NaN,-3,-1,NaN,-2,NaN,-1,NaN,6,NaN,-2,0,NaN,8,NaN,1,NaN,2,-4,NaN,2,NaN,-1,-1,-7,1,1,-4,11,0,-27,NaN,NaN,-4,96,0,NaN,NaN,NaN,NaN,25,-1,NaN,NaN,NaN,-24,-5,-2,NaN,NaN,32,-24,-3,NaN,NaN,NaN,NaN,NaN,NaN,-11,-24,NaN,4,NaN,10,NaN,-1,NaN,NaN,0,-14,NaN,NaN,-1,18,-18,-47,-1,-112,-1,NaN,NaN,13,-2,NaN,NaN,NaN,-1,0,-460,460,-617,617,-334,16,347,-2,-248,21,-137,4,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
